STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA,Start of Week 1 Stock,Week 1 Sales,End of Week 1 Stock,Start of Week 2 Stock,Week 2 Sales,End of Week 2 Stock,Start of Week 3 Stock,Week 3 Sales,End of Week 3 Stock,Start of Week 4 Stock,Week 4 Sales,End of Week 4 Stock,Selling Speed,Reorder Point,Shortage
AMM ENREGISTREE,Commercialisé,AZITHRIX,200 MG / 5 ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 15 ML,GN,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"59,20","37,00","35,24",251,,69,1,68,95,42,53,53,13,40,40,0,40,Slow,20,False
AMM ENREGISTREE,Commercialisé,AZITHRIX,200 MG / 5 ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 30 ML,GN,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"92,50","57,80","55,07",252,,82,24,58,58,29,29,29,17,12,12,5,7,Slow,20,True
AMM ENREGISTREE,Commercialisé,AZITHRIX,500 MG,COMPRIME PELLICULE,BOITE DE 3,GN,AZITHROMYCINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"74,50","46,50","44,34",253,,68,50,18,18,12,6,6,5,1,34,0,34,Slow,20,False
AMM RETIREE,Rertiré du Marché,BICALUTAMIDE GT,150 MG,COMPRIME PELLICULE,BOITE DE 20,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"1144,00","869,00","827,95",254,,114,28,86,109,40,69,69,32,37,37,2,35,Medium,30,False
AMM RETIREE,Rertiré du Marché,BICALUTAMIDE GT,150 MG,COMPRIME PELLICULE,BOITE DE 60,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"2578,00","2242,00","2136,08",255,,63,42,21,21,2,19,19,9,10,10,9,1,Slow,20,True
AMM ENREGISTREE,Non Commercialisé,BICALUTAMIDE GT,50 MG,COMPRIME PELLICULE,BOITE DE 20,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"326,00","216,00","206,48",256,,191,7,184,184,41,143,143,42,101,101,24,77,Medium,30,False
AMM ENREGISTREE,Commercialisé,BICALUTAMIDE GT,50 MG,COMPRIME PELLICULE,BOITE DE 30,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"478,00","317,00","302,68",257,,149,34,115,115,38,77,77,45,32,32,3,29,Medium,30,True
AMM ENREGISTREE,Commercialisé,BICALUTAMIDE GT,50 MG,COMPRIME PELLICULE,BOITE DE 60,GN,BICALUTAMIDE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"903,00","620,00","591,29",258,,154,17,137,137,29,108,108,36,72,72,44,28,Fast,40,True
AMM ENREGISTREE,Commercialisé,BRONCOLIBER,120 MG,GELULE A LIBERATION PROLONGEE,BOITE DE 20,GN,AMBROXOL,PNEUMOLOGIE,ATLAS PHARM,"70,10","43,80","41,72",259,,185,40,145,145,37,108,108,23,85,113,3,110,Medium,30,False
AMM ENREGISTREE,Commercialisé,BRONCOLIBER,"15 MG / 5 ML (0,30%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,ATLAS PHARM,"28,00","17,50","16,68",260,,137,47,90,90,2,88,88,45,43,43,15,28,Medium,30,True
AMM ENREGISTREE,Commercialisé,BRONCOLIBER,"30 MG / 5 ML (0,6%)",SOLUTION BUVABLE,FLACON DE 200 ML,GN,AMBROXOL,PNEUMOLOGIE,ATLAS PHARM,"47,70","29,80","28,37",261,,142,23,119,119,27,92,92,42,50,50,6,44,Medium,30,False
AMM ENREGISTREE,Commercialisé,BRONCOLIBER,120 MG,GELULE,BOITE DE 10,GN,AMBROXOL,PNEUMOLOGIE,ATLAS PHARM,"36,60","22,90","21,80",262,,98,39,59,59,21,38,77,11,66,66,25,41,Medium,30,False
AMM ENREGISTREE,Commercialisé,BRONCOTEC,12 µG,GELULE POUR INHALATION,BOITE DE 60,GN,FORMOTEROL (FUMARATE),PNEUMOLOGIE,ATLAS PHARM,"197,90","123,70","117,78",263,,76,12,64,64,33,31,31,13,18,18,4,14,Slow,20,True
AMM ENREGISTREE,Commercialisé,CIPROFLOXACINE GT,2 MG / ML,SOLUTION POUR PERFUSION,BOITE D'UN FLACON DE 100 ML,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"133,60","83,50","79,55",264,,189,38,151,151,38,113,113,38,75,75,4,71,Medium,30,False
AMM ENREGISTREE,Commercialisé,CLOPIDOGREL GT,75 MG,COMPRIME PELLICULE,BOITE DE 30,GN,CLOPIDOGREL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"255,00","159,90","152,26",265,,60,7,53,53,28,25,25,7,18,50,3,47,Slow,20,False
AMM ENREGISTREE,Commercialisé,CLOPIDOGREL GT,75 MG,COMPRIME PELLICULE,BOITE DE 60,GN,CLOPIDOGREL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"447,00","297,00","283,50",266,,171,33,138,138,17,121,121,46,75,75,27,48,Fast,40,False
AMM ENREGISTREE,Commercialisé,COERIL,4 MG,COMPRIME SECABLE,BOITE DE 30,GN,PERINDOPRIL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"90,00","56,20","53,57",267,,193,12,181,181,40,141,141,23,118,118,16,102,Medium,30,False
AMM ENREGISTREE,Commercialisé,COERIL,8 MG,COMPRIME SECABLE,BOITE DE 30,GN,PERINDOPRIL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"142,70","89,20","84,93",268,,108,46,62,62,44,18,18,1,17,17,16,1,Medium,30,True
AMM ENREGISTREE,Commercialisé,CONVERTAL,25 MG,COMPRIME,BOITE DE 30,GN,CAPTOPRIL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"91,80","57,40","54,64",269,,106,18,88,88,40,48,48,10,38,69,13,56,Medium,30,False
AMM ENREGISTREE,Commercialisé,CONVERTAL,50 MG,COMPRIME,BOITE DE 30,GN,CAPTOPRIL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"164,20","102,60","97,74",270,,75,9,66,100,20,80,80,43,37,37,0,37,Slow,20,False
AMM ENREGISTREE,Commercialisé,CORONAT,25 MG,COMPRIME,BOITE DE 30,GN,CARVEDILOL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"88,10","55,10","52,47",271,,85,11,74,74,42,32,32,15,17,40,12,28,Slow,20,False
AMM ENREGISTREE,Commercialisé,CORONAT,"6,25 MG",COMPRIME,BOITE DE 30,GN,CARVEDILOL,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"43,80","27,40","26,10",272,,79,23,56,56,6,50,50,38,12,12,0,12,Slow,20,True
AMM ENREGISTREE,Commercialisé,DEFLAZACORTE GT,30 MG,COMPRIME SECABLE,BOITE DE 10,GN,DEFLAZACORTE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"96,90","60,60","57,68",273,,109,32,77,77,41,36,36,12,24,74,13,61,Medium,30,False
AMM RETIREE,Rertiré du Marché,DEFLAZACORTE GT,30 MG,COMPRIME SECABLE,BOITE DE 60,GN,DEFLAZACORTE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"502,00","334,00","318,15",274,,131,3,128,172,27,145,145,18,127,127,40,87,Medium,30,False
AMM ENREGISTREE,Commercialisé,DEFLAZACORTE GT,6 MG,COMPRIME SECABLE,BOITE DE 60,GN,DEFLAZACORTE,ENDOCRINOLOGIE ET HORMONES,ATLAS PHARM,"128,20","80,10","76,30",275,,180,39,141,141,45,96,144,21,123,123,0,123,Medium,30,False
AMM ENREGISTREE,Commercialisé,DESOMEDINE,"0,001",COLLYRE,FLACON DE 10 ML,PP,HEXAMIDINE (DI-ISETHIONATE),OPHTALMOLOGIE,ZENITH PHARMA,"26,10","16,30","15,52",276,,143,49,94,137,43,94,94,45,49,49,6,43,Fast,40,False
AMM ENREGISTREE,Commercialisé,FINASTERIDE GT,5 MG,COMPRIME PELLICULE,BOITE DE 30,GN,FINASTERIDE,UROLOGIE ET NEPHROLOGIE,ATLAS PHARM,"177,60","111,00","105,70",277,,81,19,62,62,40,22,22,3,19,19,16,3,Slow,20,True
AMM ENREGISTREE,Non Commercialisé,FLUCONAZOLE GT,150 MG,GELULE,BOITE DE 2,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"31,80","19,80","18,91",278,,170,11,159,206,46,160,160,33,127,127,42,85,Fast,40,False
AMM ENREGISTREE,Non Commercialisé,FLUCONAZOLE GT,200 MG,GELULE,BOITE DE 14,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"239,00","149,60","142,52",279,,159,49,110,110,38,72,117,5,112,112,27,85,Medium,30,False
AMM ENREGISTREE,Commercialisé,GABAMOX,300 MG,GELULE,BOITE DE 30,GN,GABAPENTINE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"109,10","68,20","64,92",280,,129,20,109,109,3,106,106,11,95,142,28,114,Slow,20,False
AMM ENREGISTREE,Commercialisé,GABAMOX,400 MG,GELULE,BOITE DE 30,GN,GABAPENTINE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"155,10","96,90","92,34",281,,191,5,186,186,48,138,138,4,134,134,35,99,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,GASTROLIBER,30 MG,GELULE,BOITE DE 15,GN,LANSOPRAZOLE,GASTRO-ENTEROLOGIE,ATLAS PHARM,"70,10","43,80","41,72",282,,82,28,54,54,12,42,42,15,27,51,6,45,Slow,20,False
AMM ENREGISTREE,Commercialisé,GIROFLOX,250 MG,COMPRIME PELLICULE,BOITE DE 16,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"72,40","45,20","43,08",283,,192,41,151,151,16,135,135,12,123,123,8,115,Slow,20,False
AMM ENREGISTREE,Commercialisé,GIROFLOX,250 MG,COMPRIME PELLICULE,BOITE DE 8,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"41,10","25,70","24,48",284,,105,29,76,76,1,75,109,18,91,91,11,80,Slow,20,False
AMM ENREGISTREE,Commercialisé,GIROFLOX,500 MG,COMPRIME PELLICULE,BOITE DE 16,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"119,60","74,80","71,20",285,,188,23,165,165,35,130,130,3,127,127,38,89,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,HIPERDINE,20 MG,COMPRIME,BOITE DE 20,GN,NITRENDIPINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"78,10","48,80","46,52",286,,114,34,80,80,10,70,95,47,48,48,10,38,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,HIPERDINE,20 MG,COMPRIME,BOITE DE 60,GN,NITRENDIPINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"228,00","142,80","136,01",287,,192,0,192,212,26,186,186,31,155,155,23,132,Slow,20,False
AMM ENREGISTREE,Commercialisé,HYPRIL,"20 MG / 12,5 MG",COMPRIME,BOITE DE 30,GN,ENALAPRIL (MALEATE) // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"71,50","44,70","42,55",288,,127,15,112,112,45,67,67,18,49,49,38,11,Medium,30,True
AMM ENREGISTREE,Commercialisé,LETROZOLE GT,"2,5 MG",COMPRIME PELLICULE,BOITE DE 30,GN,LETROZOLE,CANCEROLOGIE-HEMATOLOGIE,ATLAS PHARM,"713,00","474,00","451,71",289,,152,41,111,111,41,70,70,8,62,62,5,57,Medium,30,False
AMM ENREGISTREE,Commercialisé,LETROZOLE GT,"2,5 MG",COMPRIME PELLICULE,BOITE DE 60,GN,LETROZOLE,CANCEROLOGIE-HEMATOLOGIE,ATLAS PHARM,"1110,00","834,00","794,43",290,,188,26,162,162,13,149,149,18,131,131,20,111,Slow,20,False
AMM ENREGISTREE,Non Commercialisé,LEVOFLOXACINE GT,250 MG,COMPRIME PELLICULE,BOITE DE 10,GN,LEVOFLOXACINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"79,40","49,60","47,29",291,,100,3,97,97,43,54,54,5,49,49,32,17,Medium,30,True
AMM ENREGISTREE,Non Commercialisé,LEVOFLOXACINE GT,5 MG / ML,SOLUTION POUR PERFUSION,BOITE D'UN FLACON DE 100 ML,GN,LEVOFLOXACINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"248,00","155,30","147,88",292,,129,5,124,124,20,104,104,43,61,92,28,64,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,LEVOFLOXACINE GT,500 MG,COMPRIME PELLICULE,BOITE DE 7,GN,LEVOFLOXACINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"103,70","64,80","61,74",293,,81,10,71,71,27,44,44,41,3,30,1,29,Slow,20,False
AMM ENREGISTREE,Commercialisé,LOSARTAN / HYDROCHLOROTHIAZIDE GT,"50 MG / 12,5 MG",COMPRIME PELLICULE,BOITE DE 30,GN,LOSARTAN POTASSIQUE // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"114,30","71,50","68,07",294,,61,29,32,32,1,31,31,4,27,27,9,18,Slow,20,True
AMM ENREGISTREE,Commercialisé,LOSARTAN GT,100 MG,COMPRIME PELLICULE,BOITE DE 30,GN,LOSARTAN (POTASSIQUE),CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"148,00","92,50","88,09",295,,79,13,66,66,15,51,51,4,47,47,44,3,Slow,20,True
AMM ENREGISTREE,Commercialisé,LOSARTAN GT,50 MG,COMPRIME PELLICULE,BOITE DE 30,GN,LOSARTAN (POTASSIQUE),CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"82,70","51,70","49,25",296,,155,47,108,108,25,83,83,15,68,68,3,65,Medium,30,False
AMM ENREGISTREE,Commercialisé,MELOXICAM GT,15 MG,COMPRIME SECABLE,BOITE DE 20,GN,MELOXICAM,ANTI-INFLAMMATOIRES,ATLAS PHARM,"82,00","51,30","48,84",297,,142,11,131,131,5,126,126,11,115,115,6,109,Very Slow,10,False
AMM ENREGISTREE,Commercialisé,MELOXICAM GT,"7,5 MG",COMPRIME,BOITE DE 20,GN,MELOXICAM,ANTI-INFLAMMATOIRES,ATLAS PHARM,"51,00","31,90","30,37",298,,189,33,156,156,13,143,143,10,133,133,27,106,Medium,30,False
AMM ENREGISTREE,Commercialisé,MIBRAL,10 MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"80,50","50,30","47,94",299,,85,13,72,72,29,43,43,15,28,75,16,59,Slow,20,False
AMM RETIREE,Rertiré du Marché,MIBRAL,10 MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"186,50","116,60","111,01",300,,101,36,65,95,19,76,76,40,36,36,5,31,Medium,30,False
AMM ENREGISTREE,Commercialisé,MIBRAL,5 MG,COMPRIME,BOITE DE 30,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"53,00","33,10","31,54",301,,80,25,55,55,28,27,53,9,44,44,10,34,Slow,20,False
AMM RETIREE,Rertiré du Marché,MIBRAL,5 MG,COMPRIME,BOITE DE 60,GN,AMLODIPINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"125,00","78,10","74,40",302,,100,18,82,82,12,70,70,10,60,86,23,63,Slow,20,False
AMM ENREGISTREE,Non Commercialisé,MIDAZOLAM GT,5 MG / 5 ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES DE 5 ML,GN,MIDAZOLAM,ANESTHESIOLOGIE,ATLAS PHARM,"115,20","72,00","68,57",303,,162,20,142,189,32,157,157,7,150,150,25,125,Medium,30,False
AMM ENREGISTREE,Commercialisé,MODINE,10 MG / 50 ML,SOLUTION POUR PERFUSION,FLACON DE 50 ML,GN,NIMODIPINE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"162,40","101,50","96,67",304,,138,47,91,91,15,76,76,13,63,63,38,25,Medium,30,True
AMM ENREGISTREE,Commercialisé,MODINE,30 MG,COMPRIME PELLICULE,BOITE DE 30,GN,NIMODIPINE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"130,50","81,60","77,71",305,,180,30,150,150,32,118,118,37,81,81,28,53,Fast,40,False
AMM ENREGISTREE,Commercialisé,MODINE,30 MG,COMPRIME PELLICULE,BOITE DE 60,GN,NIMODIPINE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"260,00","162,60","154,88",306,,65,11,54,54,34,20,20,8,12,12,0,12,Slow,20,True
AMM ENREGISTREE,Commercialisé,ONDANSETRON GT,8 MG / 4 ML,SOLUTION INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,GN,ONDANSETRON (CHLOHYDRATE),GASTRO-ENTEROLOGIE,ATLAS PHARM,"87,80","54,90","52,29",307,,100,8,92,92,7,85,85,16,69,69,15,54,Slow,20,False
AMM ENREGISTREE,Commercialisé,ONDANSETRON GT,8 MG / 4 ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 4 ML,GN,ONDANSETRON (CHLOHYDRATE),GASTRO-ENTEROLOGIE,ATLAS PHARM,"565,00","375,00","357,98",308,,169,6,163,163,5,158,158,40,118,153,48,105,Medium,30,False
AMM ENREGISTREE,Commercialisé,PANTOPRAZOLE GT,20 MG,COMPRIME GASTRO-RESISTANT,BOITE DE 10,GN,PANTOPRAZOLE,GASTRO-ENTEROLOGIE,ATLAS PHARM,"48,10","30,10","28,63",309,,51,35,16,16,15,1,1,0,1,1,0,1,Slow,20,True
AMM ENREGISTREE,Commercialisé,PANTOPRAZOLE GT,20 MG,COMPRIME GASTRO-RESISTANT,BOITE DE 20,GN,PANTOPRAZOLE,GASTRO-ENTEROLOGIE,ATLAS PHARM,"85,90","53,70","51,14",310,,180,25,155,155,26,129,151,1,150,150,48,102,Medium,30,False
AMM ENREGISTREE,Commercialisé,PANTOPRAZOLE GT,40 MG,COMPRIME GASTRO-RESISTANT,BOITE DE 10,GN,PANTOPRAZOLE,GASTRO-ENTEROLOGIE,ATLAS PHARM,"70,10","43,80","41,72",311,,52,10,42,42,23,19,19,15,4,4,1,3,Slow,20,True
AMM ENREGISTREE,Commercialisé,PANTOPRAZOLE GT,40 MG,COMPRIME GASTRO-RESISTANT,BOITE DE 20,GN,PANTOPRAZOLE,GASTRO-ENTEROLOGIE,ATLAS PHARM,"133,50","83,40","79,47",312,,72,48,24,24,6,18,18,2,16,16,8,8,Slow,20,True
AMM ENREGISTREE,Non Commercialisé,PAROXETINE GT,20 MG,COMPRIME PELLICULE,FLACON DE 20,GN,PAROXETINE (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"82,20","51,40","48,94",313,,192,37,155,155,9,146,178,25,153,153,22,131,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,PAROXETINE GT,20 MG,COMPRIME PELLICULE,FLACON DE 10,GN,PAROXETINE (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"43,30","27,00","25,75",314,,139,0,139,139,5,134,174,20,154,154,33,121,Slow,20,False
AMM ENREGISTREE,Commercialisé,PAROXETINE GT,20 MG,COMPRIME PELLICULE,BOITE DE 30,GN,PAROXETINE (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"117,80","73,60","70,10",315,,185,25,160,160,6,154,154,6,148,174,28,146,Slow,20,False
AMM RETIREE,Rertiré du Marché,PRAVASTATINE GT,10 MG,COMPRIME,PILLULIER DE 30,GN,PRAVASTATINE (SODIQUE),CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"67,10","41,90","39,92",316,,164,15,149,149,31,118,118,41,77,77,31,46,Medium,30,False
AMM RETIREE,Rertiré du Marché,PRAVASTATINE GT,20 MG,COMPRIME,PILLULIER DE 30,GN,PRAVASTATINE (SODIQUE),CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"121,00","75,60","72,00",317,,182,50,132,176,8,168,168,35,133,133,6,127,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,PROCLOR,20 MG,GELULE,BOITE DE 15,GN,OMEPRAZOLE,GASTRO-ENTEROLOGIE,ATLAS PHARM,"52,80","33,00","31,46",318,,88,38,50,50,4,46,46,43,3,52,1,51,Medium,30,False
AMM ENREGISTREE,Non Commercialisé,ROMAZIDE,"2,5 MG / 12,5 MG",COMPRIME,BOITE DE 14,GN,RAMIPRIL // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"55,00","34,40","32,74",319,,151,19,132,132,25,107,152,2,150,150,15,135,Slow,20,False
AMM ENREGISTREE,Non Commercialisé,ROMAZIDE,"2,5 MG / 12,5 MG",COMPRIME,BOITE DE 28,GN,RAMIPRIL // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"96,80","60,50","57,62",320,,175,37,138,181,46,135,135,31,104,104,28,76,Fast,40,False
AMM ENREGISTREE,Non Commercialisé,ROMAZIDE,5 MG / 25 MG,COMPRIME,BOITE DE 14,GN,RAMIPRIL // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"60,10","37,60","35,78",321,,152,24,128,128,40,88,88,36,52,81,26,55,Fast,40,False
AMM ENREGISTREE,Non Commercialisé,ROMAZIDE,5 MG / 25 MG,COMPRIME,BOITE DE 28,GN,RAMIPRIL // HYDROCHLOROTHIAZIDE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"107,50","67,20","63,96",322,,96,40,56,56,15,41,41,10,31,31,6,25,Slow,20,False
AMM RETIREE,Rertiré du Marché,REDLIP,20 MG,COMPRIME PELLICULE,BOITE DE 60,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"250,00","156,20","148,81",323,,159,44,115,115,14,101,101,1,100,100,8,92,Slow,20,False
AMM ENREGISTREE,Commercialisé,REDLIP,20 MG,COMPRIME PELLICULE,BOITE DE 30,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"97,60","61,00","58,08",324,,163,48,115,115,37,78,78,18,60,60,5,55,Medium,30,False
AMM ENREGISTREE,Commercialisé,REDLIP,40 MG,COMPRIME PELLICULE,BOITE DE 30,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"138,00","86,20","82,14",325,,86,10,76,76,6,70,106,48,58,58,1,57,Slow,20,False
AMM RETIREE,Rertiré du Marché,REDLIP,40 MG,COMPRIME PELLICULE,BOITE DE 60,GN,SIMVASTATINE,CARDIOLOGIE ET ANGEIOLOGIE,ATLAS PHARM,"384,00","255,00","243,57",326,,58,50,8,8,1,7,7,5,2,49,0,49,Slow,20,False
AMM ENREGISTREE,Commercialisé,RISPERIDONE GT,1 MG,COMPRIME PELLICULE,BOITE DE 10,GN,RISPERIDONE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"26,80","16,70","15,95",327,,169,16,153,153,24,129,129,46,83,83,27,56,Medium,30,False
AMM ENREGISTREE,Commercialisé,RISPERIDONE GT,1 MG,COMPRIME PELLICULE,BOITE DE 60,GN,RISPERIDONE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"138,70","86,70","82,55",328,,123,32,91,91,25,66,66,41,25,25,16,9,Medium,30,True
AMM ENREGISTREE,Commercialisé,RISPERIDONE GT,2 MG,COMPRIME PELLICULE,BOITE DE 10,GN,RISPERIDONE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"47,80","29,90","28,48",329,,70,27,43,43,29,14,60,1,59,59,8,51,Slow,20,False
AMM ENREGISTREE,Commercialisé,RISPERIDONE GT,2 MG,COMPRIME PELLICULE,BOITE DE 60,GN,RISPERIDONE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"247,00","154,70","147,32",330,,82,50,32,54,9,45,45,11,34,34,5,29,Slow,20,False
AMM ENREGISTREE,Commercialisé,RISPERIDONE GT,3 MG,COMPRIME PELLICULE,BOITE DE 10,GN,RISPERIDONE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"66,30","41,40","39,45",331,,56,48,8,8,1,7,7,0,7,7,2,5,Slow,20,True
AMM ENREGISTREE,Commercialisé,RISPERIDONE GT,3 MG,COMPRIME PELLICULE,BOITE DE 60,GN,RISPERIDONE,NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"322,00","214,00","204,10",332,,136,42,94,94,38,56,56,8,48,48,43,5,Fast,40,True
AMM ENREGISTREE,Commercialisé,SERTRALINE GT,100 MG,COMPRIME PELLICULE,BOITE DE 30,GN,SERTRALINE (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"167,00","104,40","99,41",333,,174,36,138,138,32,106,153,45,108,108,47,61,Fast,40,False
AMM ENREGISTREE,Commercialisé,SERTRALINE GT,50 MG,COMPRIME PELLICULE,BOITE DE 30,GN,SERTRALINE (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,ATLAS PHARM,"103,40","64,60","61,53",334,,173,2,171,171,23,148,148,20,128,128,50,78,Medium,30,False
AMM ENREGISTREE,Commercialisé,SUPRIMASE,150 MG,GELULE,BOITE DE 4,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"73,80","46,10","43,95",335,,92,43,49,49,22,27,27,17,10,35,7,28,Medium,30,True
AMM ENREGISTREE,Commercialisé,SUPRIMASE,150 MG,GELULE,BOITE UNITAIRE,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"22,40","14,00","13,35",336,,165,32,133,133,6,127,127,41,86,135,35,100,Medium,30,False
AMM ENREGISTREE,Commercialisé,SUPRIMASE,50 MG,GELULE,BOITE DE 7,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"78,30","48,90","46,59",337,,89,25,64,64,44,20,69,4,65,65,6,59,Slow,20,False
AMM ENREGISTREE,Commercialisé,SUPRIMASE DUO,150 MG,GELULE,BOITE DE 2,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,ATLAS PHARM,"39,50","24,70","23,49",338,,169,32,137,160,28,132,132,5,127,127,35,92,Medium,30,False
